"","TRACTCE","NatWalkInd_weighted"
"1","482011e+05",9.94272170532754
"2","48201210100",6.50000000333333
"3","48201210400",10.536641682951
"4","48201210500",10.7821378574825
"5","48201210600",8.76196346156078
"6","48201210700",8.80504328354159
"7","48201210800",7.57690414834502
"8","48201210900",6.36889991962779
"9","48201211000",7.11282843833934
"10","48201211100",7.26367657862758
"11","48201211200",6.13569009509596
"12","48201211300",9.11122634981646
"13","48201211400",8.5909999132343
"14","48201211500",8.33222687335306
"15","48201211600",9.54856311052625
"16","48201211700",6.34544695203651
"17","48201211900",7.62340270254107
"18","48201212300",10.4310938845421
"19","48201212400",8.86009821755187
"20","48201212500",5.77554438798576
"21","48201220100",6.98973430029891
"22","48201220200",7.77564839546058
"23","48201220300",7.45539147914013
"24","48201220400",7.36650755500716
"25","48201220500",10.3005176577935
"26","48201220600",6.35710659803215
"27","48201220700",6.18352659972658
"28","48201220800",7.80089126527273
"29","48201220900",8.85950259503341
"30","48201221000",7.63047958643995
"31","48201221100",6.19429938984769
"32","48201221200",8.32692116917607
"33","48201221300",7.58271169508804
"34","48201221400",8.55604818314762
"35","48201221500",7.76433133838124
"36","48201221600",7.18241895819751
"37","48201221700",5.57625404462176
"38","48201221800",6.33866666538983
"39","48201221900",5.78406402010299
"40","48201222000",10.1666666633333
"41","48201222100",6.78811346488772
"42","48201222200",7.69868173227244
"43","48201222300",6.72384823978862
"44","48201222401",6.82817448349678
"45","48201222402",6.17726351670999
"46","48201222501",8.55556898604046
"47","48201222502",6.63577759884475
"48","48201222503",8.4503420159038
"49","48201222600",8.45308932140275
"50","48201222700",7.02277845474508
"51","48201222800",4.98390512480728
"52","48201222900",5.97917770806386
"53","48201223001",6.17458006811273
"54","48201223002",6.07372954534797
"55","48201223100",7.33333333333333
"56","48201230100",4.99999999666667
"57","48201230200",6.28134494563932
"58","48201230300",5.50000000333333
"59","48201230400",5.97039633770669
"60","48201230500",6.7718312361627
"61","48201230600",6.21795778689777
"62","48201230700",6.34220907477526
"63","48201230800",4.78755449878452
"64","48201230900",6.6167888976792
"65","48201231000",6.05840840899249
"66","48201231100",5.89784946323094
"67","48201231200",4.19734209888139
"68","48201231300",7.36240520169736
"69","48201231400",3.66666666666667
"70","48201231500",6.27611111001667
"71","48201231600",5.00180697612245
"72","48201231700",6.72683706241166
"73","48201231800",5.95703703703704
"74","48201231900",4.75191882356619
"75","48201232000",4.39356649416278
"76","48201232100",6.06449772022831
"77","48201232200",6.65652920074077
"78","48201232301",4.53963142646526
"79","48201232302",6.40717780045251
"80","48201232401",7.86439919433281
"81","48201232402",5.46366781973587
"82","48201232403",4.76361122945803
"83","48201232500",7.00000000333333
"84","48201232600",7.06012460872482
"85","48201232701",7.09298499241885
"86","48201232702",10.192988261974
"87","48201232800",9.13468634819434
"88","48201232900",8.70946071772013
"89","48201233001",8.68197581195695
"90","48201233002",7.30483428296833
"91","48201233003",4.96589037873442
"92","48201233101",9.27707486061576
"93","48201233102",7.36905263164435
"94","48201233103",8.85696563717653
"95","48201233200",6.00984848475167
"96","48201233300",9.53727114240337
"97","48201233400",10.9724776299117
"98","48201233500",7.24138432094195
"99","48201233600",6.54136833856165
"100","48201233701",5.97602339196754
"101","48201233702",8.12852291897974
"102","48201233703",5.83948030174211
"103","48201240100",9.70519375652853
"104","48201240400",5.07205096588574
"105","48201240501",6.18744906275469
"106","48201240502",5.82612354893957
"107","48201240600",4.66666666333333
"108","48201240701",7.64954093351886
"109","48201240702",7.87571202456465
"110","48201240801",5.59681475176753
"111","48201240802",8.06215498971762
"112","48201240901",6.42412232646454
"113","48201240902",7.08517755464168
"114","48201241000",5.36138261630817
"115","48201241101",6.69092678343735
"116","48201241102",6.33811409159338
"117","48201241103",5.71546620626805
"118","48201241200",6.59499564862528
"119","48201241300",8.76997827491046
"120","48201241400",5.96290427041311
"121","48201241500",7.62941918976207
"122","48201250100",6.11023259237794
"123","48201250200",7.87800559187086
"124","48201250301",7.00579749847357
"125","48201250302",6.9849352127093
"126","48201250401",9.51470510172241
"127","48201250402",7.36299139366085
"128","48201250500",9.63677024627166
"129","48201250600",9.06918164231881
"130","48201250701",5.47609350086907
"131","48201250702",8.89492533294682
"132","48201250800",7.82499723279591
"133","48201250900",6.47922978498781
"134","48201251000",6.86107519923939
"135","48201251100",6.95097644904969
"136","48201251200",9.04321363336067
"137","48201251300",7.09093040733394
"138","48201251401",5.33333333366667
"139","48201251402",8.37237790116563
"140","48201251501",5.33333333366667
